City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Peterhead,GB,57.5058,-1.7981,46.8,89,100,17.83,overcast clouds
213,Jiwani,PK,25.05,61.7417,81.07,82,0,11.21,clear sky
214,Worthington,US,40.0931,-83.018,45.86,50,0,10.36,clear sky
215,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,100,8.43,light rain
216,Samarai,PG,-10.6167,150.6667,81.97,80,100,10.58,overcast clouds
217,Hammerfest,NO,70.6634,23.6821,39.65,93,100,8.05,overcast clouds
218,Santiago Del Estero,AR,-27.7951,-64.2615,65.35,56,0,3.8,clear sky
219,Dunedin,NZ,-45.8742,170.5036,60.8,65,0,11.99,clear sky
220,Ponta Do Sol,PT,32.6667,-17.1,66.13,55,49,12.62,scattered clouds
221,Gladstone,AU,-23.85,151.25,78.73,44,0,8.05,clear sky
222,Madingou,CG,-4.1536,13.55,74.07,96,100,2.39,overcast clouds
223,Charters Towers,AU,-20.1,146.2667,81.12,44,0,11.1,clear sky
224,Maymyo,MM,22.0333,96.4667,75.18,54,3,2.28,clear sky
225,Atar,MR,20.5169,-13.0499,85.59,12,100,2.59,overcast clouds
226,Avera,US,33.194,-82.5271,70.56,71,100,3.24,overcast clouds
227,Puri,IN,19.8,85.85,81.12,86,98,13.31,overcast clouds
228,Wum,CM,6.3833,10.0667,67.71,90,100,3.47,overcast clouds
229,Bonaventure,CA,48.0457,-65.4926,39.78,75,100,11.5,overcast clouds
230,Camapua,BR,-19.5314,-54.0439,65.07,58,0,6.17,clear sky
231,Eenhana,NA,-17.4667,16.3333,67.24,82,25,5.17,scattered clouds
232,Soyo,AO,-6.1349,12.3689,78.17,93,100,6.8,overcast clouds
233,Cairns,AU,-16.9167,145.7667,87.06,73,100,9.22,overcast clouds
234,Preobrazheniye,RU,42.9019,133.9064,45.95,61,100,1.92,overcast clouds
235,Chuy,UY,-33.6971,-53.4616,62.04,81,100,6.58,overcast clouds
236,Victoria,HK,22.2855,114.1577,72.25,79,100,5.99,overcast clouds
237,Yenagoa,NG,4.9247,6.2642,76.39,93,100,3.18,light rain
238,Vostok,RU,46.4856,135.8833,37.87,52,97,9.19,overcast clouds
239,Tandur,IN,17.2333,77.5833,81.82,49,99,5.01,overcast clouds
240,Kurilsk,RU,45.2333,147.8833,42.17,57,100,7.47,overcast clouds
241,Zarubino,RU,42.63,131.0922,46.11,42,100,5.3,overcast clouds
242,Fomboni,KM,-12.28,43.7425,82.6,73,14,9.8,few clouds
243,Mkushi,ZM,-13.6202,29.3939,61.12,97,3,4.65,clear sky
244,Ponta Delgada,PT,37.7333,-25.6667,59.72,72,20,12.66,few clouds
245,Sari,IR,36.5633,53.0601,49.5,73,26,3.96,scattered clouds
246,Cape Canaveral,US,28.4058,-80.6048,79.02,82,0,9.22,clear sky
247,Marsa Matruh,EG,31.3525,27.2453,62.47,81,100,14.07,overcast clouds
248,Nedjo,ET,9.5046,35.5019,59.49,87,19,1.36,few clouds
249,Domoni,KM,-12.2569,44.5319,78.1,86,16,3.24,few clouds
250,Coahuayana,MX,18.7333,-103.6833,77.0,71,100,3.33,overcast clouds
251,Hami,CN,42.8,93.45,58.28,16,0,5.12,clear sky
252,Cherskiy,RU,68.75,161.3,14.85,81,100,4.05,overcast clouds
253,Ahipara,NZ,-35.1667,173.1667,69.96,89,100,12.68,overcast clouds
254,Gryazovets,RU,58.88,40.2525,29.08,89,99,2.64,overcast clouds
255,Brumado,BR,-14.2036,-41.6653,71.76,77,100,5.14,overcast clouds
256,Sampit,ID,-2.5333,112.95,83.08,71,100,2.95,overcast clouds
257,Broken Hill,AU,-31.95,141.4333,82.11,26,40,5.75,scattered clouds
258,Tukrah,LY,32.5341,20.5791,58.59,89,14,12.26,few clouds
259,Florence,IT,43.7667,11.25,51.48,53,0,12.66,clear sky
260,Carnarvon,AU,-24.8667,113.6333,69.87,78,96,13.8,overcast clouds
261,Kandrian,PG,-6.2167,149.55,86.99,65,100,5.03,overcast clouds
262,Road Town,VG,18.4167,-64.6167,78.89,78,20,16.11,few clouds
263,Buxar,IN,25.5833,83.9833,84.9,10,0,4.16,clear sky
264,Manati,PR,18.4275,-66.4921,78.71,84,100,9.75,overcast clouds
265,Mazagao,BR,-0.115,-51.2894,78.85,96,100,3.22,overcast clouds
266,Jimenez,MX,28.3333,-105.4,82.92,8,100,10.45,overcast clouds
267,Atambua,ID,-9.1061,124.8925,81.81,69,100,0.87,overcast clouds
268,Taoudenni,ML,22.6783,-3.9836,75.79,24,0,9.71,clear sky
269,Matadi,CD,-5.8167,13.45,77.4,96,100,2.75,overcast clouds
270,Catuday,PH,16.2923,119.8062,83.46,61,52,9.4,broken clouds
271,Haines Junction,CA,60.7522,-137.5108,35.55,30,100,3.44,overcast clouds
272,Dudinka,RU,69.4058,86.1778,4.62,96,100,8.95,overcast clouds
273,Grand Gaube,MU,-20.0064,57.6608,77.4,91,12,1.99,few clouds
274,Qaqortoq,GL,60.7167,-46.0333,26.55,88,56,2.93,broken clouds
275,Saint Anthony,US,45.0205,-93.218,35.85,92,100,9.22,light snow
276,Yining,CN,29.0361,114.5636,56.01,81,100,1.83,overcast clouds
277,The Valley,AI,18.217,-63.0578,78.82,78,71,24.29,broken clouds
278,Baghdad,IQ,33.3406,44.4009,60.71,29,75,6.91,broken clouds
279,Carnot,CF,4.9409,15.8665,71.11,88,100,1.97,light rain
280,Rusera,IN,25.75,86.0333,77.77,68,0,11.86,clear sky
281,Muisne,EC,0.6,-80.0333,75.07,85,85,6.6,overcast clouds
282,Altamira,BR,-3.2033,-52.2064,72.66,98,100,1.43,light rain
283,Eureka,US,40.8021,-124.1637,62.74,68,100,8.97,overcast clouds
284,Alyangula,AU,-13.8483,136.4192,87.67,62,40,6.91,scattered clouds
285,Lagoa,PT,39.05,-27.9833,56.97,66,70,16.73,broken clouds
286,Hauterive,FR,46.0901,3.4459,43.56,83,100,1.16,overcast clouds
287,Fortuna,US,40.5982,-124.1573,58.93,49,0,11.5,clear sky
288,Rio Grande,BR,-32.035,-52.0986,61.95,78,100,12.08,overcast clouds
289,Kita,ML,13.0349,-9.4895,87.67,24,95,4.38,overcast clouds
290,Alvorada,BR,-12.48,-49.1247,72.91,93,95,3.8,overcast clouds
291,Halvad,IN,23.0167,71.1833,75.54,77,5,9.24,clear sky
292,Upernavik,GL,72.7868,-56.1549,-3.05,89,100,13.13,overcast clouds
293,Mosnita Noua,RO,45.7172,21.3253,38.97,66,0,6.91,clear sky
294,Adre,TD,13.4667,22.2,82.15,32,63,6.69,broken clouds
