City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Wum,CM,67.71,overcast clouds,6.3833,10.0667,Wum Council Hall
229,Bonaventure,CA,39.78,overcast clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
230,Camapua,BR,65.07,clear sky,-19.5314,-54.0439,Comercial Estrela
232,Soyo,AO,78.17,overcast clouds,-6.1349,12.3689,Hotel Mpampa
233,Cairns,AU,87.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
234,Preobrazheniye,RU,45.95,overcast clouds,42.9019,133.9064,Campsite Orlan
235,Chuy,UY,62.04,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
236,Victoria,HK,72.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
237,Yenagoa,NG,76.39,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
239,Tandur,IN,81.82,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
240,Kurilsk,RU,42.17,overcast clouds,45.2333,147.8833,Hotel Ostrov
241,Zarubino,RU,46.11,overcast clouds,42.63,131.0922,Okean
242,Fomboni,KM,82.6,few clouds,-12.28,43.7425,Auberge les abou
243,Mkushi,ZM,61.12,clear sky,-13.6202,29.3939,Mkushi Police Club
244,Ponta Delgada,PT,59.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
245,Sari,IR,49.5,scattered clouds,36.5633,53.0601,Tajan Inn
246,Cape Canaveral,US,79.02,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
247,Marsa Matruh,EG,62.47,overcast clouds,31.3525,27.2453,Beau Site
248,Nedjo,ET,59.49,few clouds,9.5046,35.5019,Yerosan Hotel
249,Domoni,KM,78.1,few clouds,-12.2569,44.5319,Al Djadid
250,Coahuayana,MX,77.0,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
251,Hami,CN,58.28,clear sky,42.8,93.45,Laoyutang Resort
253,Ahipara,NZ,69.96,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
254,Gryazovets,RU,29.08,overcast clouds,58.88,40.2525,Hotel Druzhba
255,Brumado,BR,71.76,overcast clouds,-14.2036,-41.6653,Hotel São Lázaro
256,Sampit,ID,83.08,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
257,Broken Hill,AU,82.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
258,Tukrah,LY,58.59,few clouds,32.5341,20.5791,Lagrota restaurant
259,Florence,IT,51.48,clear sky,43.7667,11.25,Hotel Nuova Italia
260,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
261,Kandrian,PG,86.99,overcast clouds,-6.2167,149.55,Kandrian Station
262,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
263,Buxar,IN,84.9,clear sky,25.5833,83.9833,Honda Service Center
264,Manati,PR,78.71,overcast clouds,18.4275,-66.4921,Manati World Point Inn
